Year,USA ,China,Japan,Germany,Russia,UK
1991,5070839400,2538923968,1167040517,1014972286,2437038082,609020421.9
1992,5174059076,2657112406,1176942570,966705828.7,1993217628,593504125.9
1993,5284687882,2835795473,1170196733,956994179.8,1890935002,579402782.1
1994,5377987137,3010242208,1225173421,940407989.4,1669637144,575657386.1
1995,5439213314,3265056964,1237852824,940086746,1640263218,566834101.6
1996,5626186717,3408346591,1249875688,960174299.5,1606949015,588493462
1997,5703890708,3414549286,1243367132,932347358.9,1502137425,562484735.6
1998,5752324190,3265902621,1203710533,924404529.9,1484852223,567486178.9
1999,5832250178,3258134887,1239840120,896882683.4,1512984706,560505345.8
2000,6000606067,3349294776,1262734462,900960091.2,1499616209,567061452.3
2001,5902454993,3426144062,1248087424,917476828.5,1538244400,575927499.8
2002,5943651279,3782439297,1277236546,900955099.1,1528961747,560040954.1
2003,5991319569,4452310296,1285385412,901969864.6,1562472351,571600968.8
2004,6106620735,5125894416,1280036122,887996509.2,1570864198,573203764.5
2005,6132005704,5771168440,1286856314,867223505.9,1588662864,570001049.8
2006,6052236286,6377748016,1262639452,878747131.4,1648658734,567652245.2
2007,6130983563,6861750652,1300051973,852096162.2,1647728940,559321980.6
2008,5932775281,7375189907,1229245450,854420962.4,1679794450,544848238.5
2009,5495394958,7758811768,1160203633,789963521.6,1572439009,494604731.5
2010,5701075808,8500542695,1211572868,833684918,1657560679,512214253.3
2011,5570706560,9388199234,1261398590,810802325.3,1712424769,469811462.2
2012,5366730281,9633899303,1302082927,815197408.6,1726099500,487670753.9
2013,5519612557,9796527160,1314069572,832642995.5,1665988574,477732571.4
2014,5568759258,9820360492,1264173252,793635843.4,1667110707,438691177
2015,5420804127,9716467840,1223666475,797078165.2,1671895079,422662553.9
2016,5310861406,9704479432,1204318623,801753007.7,1668069933,398550884.1
2017,5269529513,9838754028,1205061178,799373210.9,1692794839,384706788.6
